Date,Open,Adj Close,Volume,High,Low,MA_5,MA_20,MA_250,realVolatility20,realVolatility60,realVolatility250,avgVolume_20,avgVolume_60,avgVolume_250,logDayRet,logMA5_20,logMA20_250,logMA5_250,logDayRange_20,HL_20_realVol_20
2019-11-18,3.300709153796827,1.5796516262480615,-1003753.493400518,1.7033905694931022,2.2363764358935114,,,,,,,,,,-0.7369330074647122,,,,-0.6292603722402792,
2019-11-19,2.9641939097690795,3.1786380706470325,463422.1033231745,2.7092986319853445,3.618083790957101,,,,,,,,,,0.06984769843998426,,,,-0.09564656150537379,
2019-11-20,1.9592865491635507,0.050887935270353,-370066.470197445,1.216444011336904,0.5721317094442284,,,,,,,,,,-3.6507098130561557,,,,-0.43957172959645013,
2019-11-21,0.534187632579723,1.790999445399699,-602578.9256095487,0.7455561317526573,0.9026808563377386,,,,,,,,,,1.209781943285392,,,,-1.8507153649128398,
2019-11-22,2.5364146146108624,2.4966247557992034,-238482.49003888652,2.7401848803927717,3.3122957541428555,1.81936036667287,,,,,,,,,-0.015811792786658698,,,,-0.5584224711585405,
2019-11-25,2.159182329799858,0.9971280211526724,115748.25357455492,1.3676548554913168,1.5323599077574386,1.702855645653792,,,,,,,,,-0.7726057099008686,,,,-1.80359896670059,
2019-11-26,0.809583905124633,-0.3672727292584099,-329108.0895023652,0.5382240478459543,-0.0465265351530277,0.9936734856727035,,,,,,,,,,,,,-0.5365698765128184,
2019-11-27,0.3223432766402432,1.2997909352690584,1266232.1425392905,0.247439830107357,1.2993943355495432,1.2434540856724445,,,,,,,,,1.3943416572821847,,,,0.05064986760300295,
2019-11-29,1.0137663992895938,2.46459821097417,2077621.78204689,2.4831889681214285,1.7753001044053818,1.378173838787339,,,,,,,,,0.8883562934582625,,,,-0.3454681697623114,
2019-12-02,2.8450644564881884,3.732578699668234,-727497.0634056437,3.534023644603831,3.182861023779971,1.625364627561145,,,,,,,,,0.2715136118029013,,,,-1.0465058556194238,
2019-12-03,3.4526810340881298,2.3963492329699427,-34045.525227778126,3.5565039045564006,3.826646841365292,1.9052088699245993,,,,,,,,,-0.3652046142815097,,,,-1.3088040644756844,
2019-12-04,3.7695618291053528,1.9091051605201732,96108.7496297562,2.5162020124867084,2.515667239290888,2.360484447880316,,,,,,,,,-0.6803241390721256,,,,-7.533667833999467,
2019-12-05,2.950724129259541,4.37013227437329,1567825.8289315288,3.89113066229017,2.8467251674299803,2.9745527157011624,,,,,,,,,0.39274266960960974,,,,0.04344781908923143,
